case:concept:name,StartTime,pre_activity,Duration,duration_min,bin,bin_range,0,1
173688,2011-10-01 00:38:44,a_submit,0.0,0.0,0,"[0.0, 1.0)",0.6602943820263969,0.0
173688,2011-10-01 00:38:44,a_submit_partial,0.0,0.0,0,"[0.0, 1.0)",0.6602943820263969,0.0
173688,2011-10-01 00:39:37,a_accept_pre,0.0,0.0,0,"[0.0, 1.0)",0.6602943820263969,0.0
173688,2011-10-01 11:36:46,w_complete_request,507.0,9.0,1,"[1, 4055)",0.0,0.15808143004413125
173688,2011-10-01 11:42:43,a_accept,0.0,0.0,0,"[0.0, 1.0)",0.6602943820263969,0.0
173688,2011-10-01 11:45:09,a_finalize,0.0,0.0,0,"[0.0, 1.0)",0.6602943820263969,0.0
173688,2011-10-01 11:45:09,o_select,0.0,0.0,0,"[0.0, 1.0)",0.4499211523444261,0.0
173688,2011-10-01 11:45:11,o_create,0.0,0.0,0,"[0.0, 1.0)",0.4499211523444261,0.0
173688,2011-10-01 11:45:11,o_send,0.0,0.0,0,"[0.0, 1.0)",0.4499211523444261,0.0
173688,2011-10-01 12:15:41,w_quote,87.0,2.0,1,"[1, 4055)",0.0,0.5004891277064426
173688,2011-10-08 16:26:57,w_quote,303.0,6.0,1,"[1, 4055)",0.0,0.5004891277064426
173688,2011-10-10 11:32:22,w_quote,43.0,1.0,1,"[1, 4055)",0.0,0.5004891277064426
173688,2011-10-10 11:33:03,o_return,0.0,0.0,0,"[0.0, 1.0)",0.7434266959722122,0.0
173688,2011-10-13 10:05:26,w_validate_request,1931.0,33.0,1,"[1, 4055)",0.0,0.2618783173567091
173688,2011-10-13 10:37:29,a_activate,0.0,0.0,0,"[0.0, 1.0)",0.8930457362827241,0.0
173688,2011-10-13 10:37:29,a_approve,0.0,0.0,0,"[0.0, 1.0)",0.8930457362827241,0.0
173688,2011-10-13 10:37:29,a_register,0.0,0.0,0,"[0.0, 1.0)",0.8930457362827241,0.0
173688,2011-10-13 10:37:29,o_accept,0.0,0.0,0,"[0.0, 1.0)",0.8930457362827241,0.0
173715,2011-10-01 09:59:10,a_submit,0.0,0.0,0,"[0.0, 1.0)",0.7801849798104562,0.0
173715,2011-10-01 09:59:10,a_submit_partial,0.0,0.0,0,"[0.0, 1.0)",0.7801849798104562,0.0
173715,2011-10-01 09:59:42,a_accept_pre,0.0,0.0,0,"[0.0, 1.0)",0.7801849798104562,0.0
173715,2011-10-01 11:44:00,w_complete_request,126.0,3.0,1,"[1, 4055)",0.0,0.38175682684593315
173715,2011-10-01 12:18:51,w_complete_request,693.0,12.0,1,"[1, 4055)",0.0,0.38175682684593315
173715,2011-10-01 12:24:32,a_accept,0.0,0.0,0,"[0.0, 1.0)",0.7801849798104562,0.0
173715,2011-10-01 12:30:20,a_finalize,0.0,0.0,0,"[0.0, 1.0)",0.7801849798104562,0.0
173715,2011-10-01 12:30:20,o_select,0.0,0.0,0,"[0.0, 1.0)",0.5324319390215717,0.0
173715,2011-10-01 12:30:21,o_create,0.0,0.0,0,"[0.0, 1.0)",0.5324319390215717,0.0
173715,2011-10-01 12:30:21,o_send,0.0,0.0,0,"[0.0, 1.0)",0.5324319390215717,0.0
173715,2011-10-08 16:35:18,w_quote,179.0,3.0,1,"[1, 4055)",0.0,0.39125906556115314
173715,2011-10-10 12:53:54,w_quote,10.0,1.0,1,"[1, 4055)",0.0,0.39125906556115314
173715,2011-10-10 12:54:03,o_return,0.0,0.0,0,"[0.0, 1.0)",0.8717644948021084,0.0
173715,2011-10-13 11:00:48,w_validate_request,280.0,5.0,1,"[1, 4055)",0.0,0.3070863882975638
173715,2011-10-13 11:05:24,a_decline,0.0,0.0,0,"[0.0, 1.0)",0.8073026630011843,0.0
173715,2011-10-13 11:05:24,o_decline,0.0,0.0,0,"[0.0, 1.0)",0.8073026630011843,0.0
173721,2011-10-01 11:07:34,a_submit,0.0,0.0,0,"[0.0, 1.0)",0.30453676241548655,0.0
173721,2011-10-01 11:07:34,a_submit_partial,0.0,0.0,0,"[0.0, 1.0)",0.30453676241548655,0.0
173721,2011-10-01 11:08:17,a_accept_pre,0.0,0.0,0,"[0.0, 1.0)",0.30453676241548655,0.0
173721,2011-10-01 11:09:08,w_complete_request,702.0,12.0,1,"[1, 4055)",0.0,0.07290930865700654
173721,2011-10-01 11:18:36,a_accept,0.0,0.0,0,"[0.0, 1.0)",0.30453676241548655,0.0
173721,2011-10-01 11:20:47,a_finalize,0.0,0.0,0,"[0.0, 1.0)",0.30453676241548655,0.0
173721,2011-10-01 11:20:47,o_select,0.0,0.0,0,"[0.0, 1.0)",0.20508259450058638,0.0
173721,2011-10-01 11:20:49,o_create,0.0,0.0,0,"[0.0, 1.0)",0.20508259450058638,0.0
173721,2011-10-01 11:20:49,o_send,0.0,0.0,0,"[0.0, 1.0)",0.20508259450058638,0.0
173721,2011-10-01 11:21:20,w_quote,92.0,2.0,1,"[1, 4055)",0.0,0.32548196702918514
173721,2011-10-01 11:26:32,w_quote,382.0,7.0,1,"[1, 4055)",0.0,0.32548196702918514
173721,2011-10-04 14:44:10,w_quote,209.0,4.0,1,"[1, 4055)",0.0,0.32548196702918514
173721,2011-10-06 09:49:01,w_quote,46.0,1.0,1,"[1, 4055)",0.0,0.32548196702918514
173721,2011-10-06 09:49:46,o_return,0.0,0.0,0,"[0.0, 1.0)",0.36260325642224056,0.0
173721,2011-10-10 09:32:46,w_validate_request,2003.0,34.0,1,"[1, 4055)",0.0,0.12773005216841044
173721,2011-10-10 10:17:26,w_follow,158.0,3.0,1,"[1, 4055)",0.0,0.8804091168437974
173721,2011-10-10 11:40:34,w_follow,118.0,2.0,1,"[1, 4055)",0.0,0.8804091168437974
173721,2011-10-10 14:15:47,w_follow,387.0,7.0,1,"[1, 4055)",0.0,0.8804091168437974
173721,2011-10-10 16:22:05,w_follow,384.0,7.0,1,"[1, 4055)",0.0,0.8804091168437974
173721,2011-10-10 16:28:25,a_decline,0.0,0.0,0,"[0.0, 1.0)",0.3357908887870299,0.0
173721,2011-10-10 16:28:25,o_decline,0.0,0.0,0,"[0.0, 1.0)",0.3357908887870299,0.0
173745,2011-10-01 14:08:16,a_submit,0.0,0.0,0,"[0.0, 1.0)",0.8659789201305582,0.0
173745,2011-10-01 14:08:16,a_submit_partial,0.0,0.0,0,"[0.0, 1.0)",0.8659789201305582,0.0
173745,2011-10-01 15:19:46,w_handle,101.0,2.0,1,"[1, 4055)",0.0,0.5132541269359656
173745,2011-10-01 15:21:26,a_accept_pre,0.0,0.0,0,"[0.0, 1.0)",0.8659789201305582,0.0
173745,2011-10-01 15:49:47,w_complete_request,540.0,9.0,1,"[1, 4055)",0.0,0.20732447497461587
173745,2011-10-01 15:55:33,a_accept,0.0,0.0,0,"[0.0, 1.0)",0.8659789201305582,0.0
173745,2011-10-01 15:58:41,a_finalize,0.0,0.0,0,"[0.0, 1.0)",0.8659789201305582,0.0
173745,2011-10-01 15:58:41,o_select,0.0,0.0,0,"[0.0, 1.0)",0.5914768152569367,0.0
173745,2011-10-01 15:58:44,o_create,0.0,0.0,0,"[0.0, 1.0)",0.5914768152569367,0.0
173745,2011-10-01 15:58:44,o_send,0.0,0.0,0,"[0.0, 1.0)",0.5914768152569367,0.0
173745,2011-10-08 12:37:54,w_quote,485.0,9.0,1,"[1, 4055)",0.0,0.2162387414101621
173745,2011-10-08 12:45:57,a_cancel,0.0,0.0,0,"[0.0, 1.0)",0.8704108593498522,0.0
173745,2011-10-08 12:45:57,o_cancel,0.0,0.0,0,"[0.0, 1.0)",0.6536934533201713,0.0
173748,2011-10-01 14:09:16,a_submit,0.0,0.0,0,"[0.0, 1.0)",0.46733608499763113,0.0
173748,2011-10-01 14:09:16,a_submit_partial,0.0,0.0,0,"[0.0, 1.0)",0.46733608499763113,0.0
173748,2011-10-01 15:21:30,w_handle,167.0,3.0,1,"[1, 4055)",0.0,0.28596031655984344
173748,2011-10-01 15:24:16,a_accept_pre,0.0,0.0,0,"[0.0, 1.0)",0.46733608499763113,0.0
173748,2011-10-01 15:56:55,w_complete_request,13.0,1.0,1,"[1, 4055)",0.0,0.592177197912143
173748,2011-10-01 15:57:12,w_complete_request,6.0,1.0,1,"[1, 4055)",0.0,0.592177197912143
173748,2011-10-01 16:00:06,w_complete_request,23.0,1.0,1,"[1, 4055)",0.0,0.592177197912143
173748,2011-10-01 16:01:55,w_complete_request,460.0,8.0,1,"[1, 4055)",0.0,0.592177197912143
173748,2011-10-01 16:27:43,w_complete_request,590.0,10.0,1,"[1, 4055)",0.0,0.592177197912143
173748,2011-10-01 16:33:21,a_accept,0.0,0.0,0,"[0.0, 1.0)",0.46733608499763113,0.0
173748,2011-10-01 16:36:44,a_finalize,0.0,0.0,0,"[0.0, 1.0)",0.46733608499763113,0.0
173748,2011-10-01 16:36:44,o_select,0.0,0.0,0,"[0.0, 1.0)",0.6622896827186868,0.0
173748,2011-10-01 16:37:32,o_create,0.0,0.0,0,"[0.0, 1.0)",0.6622896827186868,0.0
173748,2011-10-01 16:37:32,o_send,0.0,0.0,0,"[0.0, 1.0)",0.6622896827186868,0.0
173748,2011-10-01 16:37:45,w_quote,95.0,2.0,1,"[1, 4055)",0.0,0.48191097314930537
173748,2011-10-01 16:41:24,w_quote,54.0,1.0,1,"[1, 4055)",0.0,0.48191097314930537
173748,2011-10-01 16:42:16,o_cancel,0.0,0.0,0,"[0.0, 1.0)",0.36420630061072085,0.0
173748,2011-10-01 16:42:16,o_select,0.0,0.0,0,"[0.0, 1.0)",0.6622896827186868,0.0
173748,2011-10-01 16:42:17,o_create,0.0,0.0,0,"[0.0, 1.0)",0.6622896827186868,0.0
173748,2011-10-01 16:42:17,o_send,0.0,0.0,0,"[0.0, 1.0)",0.6622896827186868,0.0
173748,2011-10-01 16:42:41,w_quote,344.0,6.0,1,"[1, 4055)",0.0,0.48191097314930537
173748,2011-10-03 16:35:29,w_quote,535.0,9.0,1,"[1, 4055)",0.0,0.48191097314930537
173748,2011-10-03 16:44:19,a_decline,0.0,0.0,0,"[0.0, 1.0)",0.49717443785608445,0.0
173748,2011-10-03 16:44:19,o_decline,0.0,0.0,0,"[0.0, 1.0)",0.49717443785608445,0.0
173751,2011-10-01 14:14:39,a_submit,0.0,0.0,0,"[0.0, 1.0)",0.7090352864765369,0.0
173751,2011-10-01 14:14:39,a_submit_partial,0.0,0.0,0,"[0.0, 1.0)",0.7090352864765369,0.0
173751,2011-10-01 14:15:21,a_accept_pre,0.0,0.0,0,"[0.0, 1.0)",0.7090352864765369,0.0
173751,2011-10-01 15:27:54,w_complete_request,369.0,7.0,1,"[1, 4055)",0.0,0.3476888548153072
173751,2011-10-01 16:39:01,w_complete_request,662.0,12.0,1,"[1, 4055)",0.0,0.3476888548153072
173751,2011-10-01 16:43:08,a_accept,0.0,0.0,0,"[0.0, 1.0)",0.7090352864765369,0.0
173751,2011-10-01 16:49:59,a_finalize,0.0,0.0,0,"[0.0, 1.0)",0.7090352864765369,0.0
173751,2011-10-01 16:49:59,o_select,0.0,0.0,0,"[0.0, 1.0)",0.4834654872953638,0.0
173751,2011-10-01 16:50:00,o_create,0.0,0.0,0,"[0.0, 1.0)",0.4834654872953638,0.0
173751,2011-10-01 16:50:01,o_send,0.0,0.0,0,"[0.0, 1.0)",0.4834654872953638,0.0
173751,2011-10-07 12:40:09,w_quote,11.0,1.0,1,"[1, 4055)",0.0,0.17853812902433475
173751,2011-10-07 12:40:18,o_return,0.0,0.0,0,"[0.0, 1.0)",0.7956017664591905,0.0
173751,2011-10-11 10:28:50,w_validate_request,647.0,11.0,1,"[1, 4055)",0.0,0.280257425533917
173751,2011-10-11 10:39:30,a_activate,0.0,0.0,0,"[0.0, 1.0)",0.9557213497508583,0.0
173751,2011-10-11 10:39:30,a_approve,0.0,0.0,0,"[0.0, 1.0)",0.9557213497508583,0.0
173751,2011-10-11 10:39:30,a_register,0.0,0.0,0,"[0.0, 1.0)",0.9557213497508583,0.0
173751,2011-10-11 10:39:30,o_accept,0.0,0.0,0,"[0.0, 1.0)",0.9557213497508583,0.0
173760,2011-10-01 15:15:17,a_submit,0.0,0.0,0,"[0.0, 1.0)",0.6602943820263969,0.0
173760,2011-10-01 15:15:17,a_submit_partial,0.0,0.0,0,"[0.0, 1.0)",0.6602943820263969,0.0
173760,2011-10-01 15:15:57,a_accept_pre,0.0,0.0,0,"[0.0, 1.0)",0.6602943820263969,0.0
173760,2011-10-01 15:49:25,w_complete_request,740.0,13.0,1,"[1, 4055)",0.0,0.15808143004413125
